album_id,album_name,release_date,release_date_precision
3Q9wXhEAX7NYCPP0hxIuDz,Meteora 20th Anniversary Edition,2023-04-07,day
28DUZ0itKISf2sr6hlseMy,Hybrid Theory (20th Anniversary Edition),2020-10-09,day
0zcNtUZ2oEpRmiDuWBFvcX,One More Light Live,2017-12-15,day
5Eevxp2BCbWq25ZdiXRwYd,One More Light,2017-05-19,day
6hU9JCoqq4GjYq86dQ1o9b,The Hunting Party: Acapellas + Instrumentals,2014-06-16,day
3XB2yloP7l00tEUmaODtVi,The Hunting Party,2014-06-13,day
2FUsvD1bw53HGOjAg56vRD,RECHARGED,2013-10-25,day
7qRKpkP0jSOlBMLYZhAMCh,LIVING THINGS: Acapellas and Instrumentals,2012-06-25,day
4XHIjbhjRmqWlosjj5rqSI,LIVING THINGS,2012-06-20,day
0hJ3A7sih1AXDoMjXHLr7Q,A Thousand Suns Live Around the World,2012-06-19,day
7IYqppCBhR5z9z8JqgXuxi,Minutes to Midnight Live Around the World,2012-06-12,day
4flcwtqnLoKZJ2wrCp1aJq,Meteora Live Around the World,2012-06-05,day
1FiRqhpAowNK8gTl5sOhxZ,Hybrid Theory Live Around the World,2012-05-31,day
4fy0SXW5G8evBCo2A3kn02,A Thousand Suns (Bonus Edition),2010-09-13,day
5uvXx5ZQswNRFCdHR521YZ,A Thousand Suns,2010-09-10,day
72seWTJF9U5SljizfyF2ZK,Road to Revolution (Live at Milton Keynes),2008-11-21,day
4JtIVJRA342O0YoAchen5Q,Minutes to Midnight (Deluxe Edition),2007-05-14,day
0ZBE7rVC0zKFVt5osvXlnz,Live in Texas,2003-11-18,day
0f7R0jf0pcTb6K6IVVPcMD,Meteora (Bonus Edition),2003-03-24,day
2NbO8RRVTVEUjHaxUVdMDT,Reanimation,2002-07-29,day
6hPkbAV3ZXpGZBGUvL6jVM,Hybrid Theory (Bonus Edition),2000-10-24,day
6UwjRSX9RQyNgJ3LwYhr9i,72 Seasons,2023-04-14,day
7h5xn0Olvx2p0eQcSt1Osy,Metallica (Remastered Deluxe Box Set),2021-09-10,day
7Hc3m7konwS0ugyN8vJhNg,S&M2,2020-08-28,day
5tEW32iyrRuYPQQ4bwUiCf,Helping Hands…Live & Acoustic At The Masonic,2019-02-01,day
4bcUiX49wpmDRhrC8TvDWV,Hardwired…To Self-Destruct (Deluxe),2016-11-18,day
0ecPxTAKqXdr2MJYdYOM7e,Metallica Through The Never (Music From The Motion Picture),2013-01-01,day
3a1SJd8obHju43McHQew7J,Lulu,2011-01-01,day
3bK58rVcWBh3V3vxMLzi0V,Death Magnetic,2008-01-01,day
4t0oscNTGJkXiIB2uqZYWg,Some Kind Of Monster,2004-07-13,day
0HKpzK9ZoJ0oVA43E5gewM,St. Anger,2003-01-01,day
1OZaosC2RtsE2TEqLziwAD,S&M,1999-01-01,day
0vshXZYhBkbIoqxyC2fXcF,Garage Inc.,1998-01-01,day
0Ip2GlQPoAIgdkqCO2YkMa,Reload,1997-01-01,day
6ndH0UlQbyCOVqByMXXhdV,Load,1996-01-01,day
6TXWP5SAhTB9P0GN4tOT0B,Live Sh*t: Binge & Purge (Live In Mexico City),1993-01-01,day
6jZ1z25PyF4Yd3kHxt9rl1,…And Justice for All (Remastered),1988-08-25,day
2Lq2qX3hYhiuPckC8Flj21,Master Of Puppets (Remastered),1986-03-03,day
05DePtm7oQMdL3Uzw2Jmsc,Ride The Lightning (Remastered),1984-07-26,day
1aGapZGHBovnmhwqVNI6JZ,Kill 'Em All (Remastered),1983-07-24,day
22BtZeG6Kq2VvQVlZCgCAG,Use Your Illusion II (Deluxe Edition),2022-11-11,day
0suNLpB9xraAv1FcdlITjQ,Chinese Democracy,2008-11-23,day
4ieR19hRkKeE81CalJPQNu,The Spaghetti Incident?,1993-11-23,day
00eiw4KOJZ7eC3NBEpmH4C,Use Your Illusion II,1991-09-18,day
0CxPbTRARqKUYighiEY9Sz,Use Your Illusion I,1991-09-17,day
6z5LStxyQzrUTrVxjiOXVU,G N' R Lies,1988-11-29,day
